score,deltaLkRoad,deltaDjRoad,deltaTotalJobsCreated,LBar,gameState0,gameState1,gameState2
-993.0202,15216.605,691.4493,1509,25.787502,7354,7355,-7840
-993.0156,14593.255,1202.8595,3000,12.431572,7470,7471,8354
-993.0142,6251.046,456.40674,1000,15.972149,8136,8137,-8378
-993.0102,9853.884,667.646,1467,17.152866,-196,659,742
-992.9958,19590.508,790.1534,1000,49.924255,5124,5125,-5685
-992.9941,30835.57,1140.5997,3000,26.187336,8157,8158,8177
-992.97986,14358.069,541.4061,1000,36.506756,7710,7711,-7858
-992.9778,10176.05,750.48926,1672,15.470102,-8195,8209,8323
-992.97003,15584.959,722.83923,1385,28.571198,-1089,1090,3820
-992.9637,10465.528,675.9795,1768,15.016163,-7549,7550,8423
-992.9617,10562.479,313.93533,328,81.66735,8242,-8243,-8309
-992.9598,20640.379,1208.0161,3000,17.443586,2191,2192,5871
-992.95593,17540.51,1038.8888,3000,14.815638,7315,7316,7322
-992.95264,12127.917,531.42554,1000,30.717497,7706,-7875,8092
-992.95135,5442.7847,292.48145,505,27.292755,-8053,-8054,8397
-992.94946,10250.245,792.71234,1799,14.424628,-8202,8309,8343
-992.93646,22264.816,642.7965,1000,56.263027,8383,8384,-8408
-992.93335,3204.182,236.29094,480,16.861135,-7484,7485,-8183
-992.93317,15111.503,1268.8901,3000,12.722862,7789,7790,8219
-992.932,13281.964,721.29553,1829,18.339132,-8137,8138,8304
-992.92993,21183.023,1121.7023,3000,17.826561,8299,8300,8414
-992.9297,10458.667,378.83298,1000,26.403633,-8199,8200,8376
-992.9276,20230.084,1421.1493,3000,17.019085,8126,8127,8195
-992.9177,486.28653,-22.04918,-75,16.341152,-7475,-7798,8117
-992.91656,21659.4,1452.5024,3000,18.193108,7816,7897,8289
-992.9145,11946.285,538.6453,1000,30.094357,1299,-1300,2396
-992.911,4048.916,243.3086,737,13.83281,-7669,7670,-7701
-992.9088,20982.146,1418.5396,3000,17.60497,7049,7050,7096
-992.8993,7467.848,618.6631,1498,12.531625,-7784,7843,8190
-992.8951,5545.301,236.93758,361,38.59075,-7594,-7595,8301
-992.84576,6156.503,305.368,556,27.626066,7673,-7674,-7738
-992.8193,1933.0153,49.465637,103,46.650185,7714,-7736,-7871
-992.8164,17699.064,1236.592,3000,14.659284,8202,8203,8400
-992.8129,5801.343,231.1557,561,25.68249,-8136,-8137,8401
-992.81226,2268.755,117.431,404,13.9456,7675,-7676,-7691
-992.78644,21613.764,1378.99,3000,17.827274,153,154,935
-992.76605,21919.1,1221.7509,3000,18.028166,8303,8315,8406
-992.7604,4844.9937,388.58502,1000,11.945436,-4394,4395,6780
