idx,score,depth,netChgRoad,netChgBus,netChgRail,netSavedMinsRoad,netSavedMinsBus,netSavedMinsRail,savedMinsRoad,savedMinsBus,savedMinsRail,deltaDkRoad,deltaDkBus,deltaDkRail,deltaLkRoad,deltaLkBus,deltaLkRail,railNetworkKM,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9,gameState10,gameState11,gameState12,gameState13,gameState14,gameState15,gameState16,gameState17,gameState18,gameState19,gameState20,gameState21,gameState22,gameState23,gameState24,gameState25,gameState26,gameState27,gameState28,gameState29,gameState30,gameState31,gameState32,gameState33,gameState34,gameState35,gameState36,gameState37,gameState38,gameState39
10,-406.59055,40,0,0,2445966,0,0,638.48737,0,0,11794414,-7494.8559826492365,-3479.190257357186,10974.046240091868,-142475.6243538934,-64642.93523232842,540040.7654866895,350.4155,190.53656,   2406,2425,   4557,1260,   4158,4160,   1999,1940,   5849,3233,   6555,6637,   1352,1092,   4084,1629,   7580,7695,   4372,4376,   5807,5870,   5274,5218,   3041,1165,   6623,4537,   3715,3417,   4969,4985,   1573,2636,   4426,4447,   3270,3674,   6902,6903,   
11,-706.6408,40,0,0,3051803,0,0,734.8802,0,0,13726030,-16280.929567383157,-4700.928644852062,20981.858215724034,-297246.8513905128,-73903.93576737115,1180671.8494151933,420.6477,215.51024,   4589,3463,   1683,4083,   173,4830,   3495,3668,   1148,1131,   7757,7497,   2795,2727,   1924,2055,   7865,7786,   6218,4655,   548,6694,   5275,5231,   4143,3146,   6583,2083,   6815,6816,   5999,3013,   6295,6224,   4609,3586,   6585,6369,   3017,3843,   
12,-553.12695,40,0,0,1550739,0,0,625.47595,0,0,6186977.5,-11124.133048016514,-3727.0003992269003,14851.13344910684,-199561.9155818455,-72794.74417533529,711846.9320799558,360.78864,192.7278,   5516,5486,   953,1308,   2983,5871,   2972,6624,   4308,3530,   6818,6817,   6189,569,   5354,5361,   6358,6347,   3576,4728,   815,6778,   6771,1118,   2692,5119,   3095,3089,   5446,5456,   4424,3294,   6785,276,   6501,6529,   7381,7377,   561,17,   
13,-467.89432,40,0,0,4857392,0,0,692.87427,0,0,19343598,-9087.188583345573,-2958.9368368984433,12046.125420899449,-172474.6349966274,-40495.127004225214,714112.0417512349,368.6188,213.9141,   6251,6251,   7683,7697,   7890,7916,   5854,3393,   1550,5211,   4686,3187,   2413,2402,   3262,3770,   3135,3131,   768,6183,   918,3431,   2942,5278,   5864,5835,   3554,4613,   5256,5783,   5746,4050,   6013,2134,   1569,1477,   692,225,   3856,3887,   
14,-993.89886,40,0,0,3002745,0,0,571.5353,0,0,9738906,-19010.71598661535,-5393.078854344072,24403.794846299108,-321650.18118887884,-71450.1653713589,1331562.1904604686,323.62466,255.78462,   6730,3610,   2775,2818,   3064,3086,   7897,7866,   7312,7310,   4376,4383,   1045,1040,   7646,8407,   3688,494,   7533,7589,   540,248,   540,110,   6154,6118,   2607,2548,   2433,2543,   2062,1932,   4884,249,   2221,2010,   4305,6445,   1928,1987,   
15,-839.6871,40,0,0,3413956,0,0,780.5622,0,0,14465449,-19495.323244135372,-5773.4659973592425,25268.78924597928,-326848.41506248206,-61665.428100266785,1376134.666536623,389.25024,240.8481,   5482,5389,   5173,2698,   1901,1881,   3498,3648,   4236,1828,   7368,7387,   2711,2718,   6491,6417,   2402,2536,   2920,4014,   1980,1937,   1090,2337,   4475,414,   7517,8323,   1185,3944,   3300,4480,   761,860,   5899,2977,   5067,1005,   1806,4241,   
16,-698.07227,40,0,0,3426625,0,0,684.5361,0,0,22113640,-14006.287204064438,-6860.574107740726,20866.86131281863,-252279.35682188885,-152547.33482755584,1441919.737117824,361.39432,281.40152,   5079,5101,   3165,4182,   1708,2546,   7050,7011,   4116,4110,   6831,6823,   2929,5766,   7906,8099,   7747,7757,   8291,8404,   5361,5339,   3101,7143,   7534,7541,   5676,5672,   3446,4849,   8294,7461,   5696,4066,   6279,3447,   5765,2947,   4962,4987,   
17,-949.66174,40,0,0,3374297,0,0,659.1357,0,0,11511918,-21417.261580905655,-7022.826286276352,28440.087871211304,-366509.33987743733,-101983.86330683154,1573304.8134205309,385.93674,228.53906,   4435,6097,   3193,4200,   16,896,   3344,3319,   6612,2000,   828,904,   1967,2072,   1238,1235,   3480,5522,   564,84,   1205,1200,   6300,6260,   4192,4679,   7976,8192,   1161,3085,   7657,8120,   1974,2036,   2850,5664,   1431,1541,   5807,5563,   
18,-1033.2887,40,0,0,3447693,0,0,482.98962,0,0,16537941,-19751.30909994934,-5265.804802157006,25017.113899652937,-347624.7684838057,-69882.50936074578,1293862.6952222022,336.42563,236.78375,   6186,613,   6888,6885,   5523,3628,   7048,7039,   3517,6451,   354,6786,   862,607,   4824,300,   8343,8129,   1377,1067,   6957,6987,   594,379,   1690,1683,   4590,6501,   105,351,   7459,8202,   8405,8420,   2862,5697,   3532,4312,   676,324,   
19,-619.9789,40,0,0,1269624,0,0,712.93207,0,0,5710966.5,-13064.038489472865,-4182.998204442627,17247.036700408564,-233895.13942503498,-53801.96012916475,864078.0894007788,377.26306,272.22833,   7640,8117,   3092,3127,   3718,5827,   5458,5467,   5873,2080,   7683,7678,   4590,4583,   2514,1644,   3325,4401,   844,348,   5574,5608,   2635,1403,   6801,6801,   19,168,   1486,3883,   7353,7725,   4752,4855,   2994,2194,   2077,2211,   7257,7221,   
