idx,score,depth,netChgRoad,netChgBus,netChgRail,netSavedMinsRoad,netSavedMinsBus,netSavedMinsRail,savedMinsRoad,savedMinsBus,savedMinsRail,deltaDkRoad,deltaDkBus,deltaDkRail,deltaLkRoad,deltaLkBus,deltaLkRail,railNetworkKM,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9,gameState10,gameState11,gameState12,gameState13,gameState14,gameState15,gameState16,gameState17,gameState18,gameState19
26,-552.39105,20,0,0,534592,0,0,243.89154,0,0,2421206.5,-4624.7779734874375,-1231.3087354704087,5856.086708186228,-72148.16579339375,-14237.981644100579,237624.19941209315,130.61067,281.3659,   7675,7481,   6113,6119,   7069,7105,   7080,7100,   3209,3217,   6023,3029,   3934,3931,   6453,6407,   6172,6164,   313,570,   
27,-1357.8367,20,0,0,1353180,0,0,349.64542,0,0,5096165,-12088.45300176533,-3037.4933375438527,15125.946339200762,-215683.41184924,-36473.40441113121,755890.0919386684,158.84341,196.04355,   897,107,   4838,4737,   1835,1876,   5646,6709,   147,456,   536,829,   3196,4188,   1436,1397,   5359,5363,   5457,5477,   
28,-766.1667,20,0,0,1364200,0,0,267.6137,0,0,5492765.5,-7391.76535087629,-2482.6367957109783,9874.402142471867,-135508.32881602363,-30466.699335533394,547319.7229938679,176.86534,236.31665,   2503,2303,   6293,4329,   7422,7777,   2497,2433,   905,287,   2737,2773,   3544,3553,   6317,6233,   4408,3320,   3558,3578,   
29,-287.4522,20,0,0,532431,0,0,439.14413,0,0,2188627.5,-3456.859867267091,-1298.526115289929,4755.38597828671,-57607.35564864736,-15110.25278612324,188175.08026932174,200.40672,356.11295,   7093,7133,   4449,3299,   2515,6733,   7087,7184,   3456,3417,   8132,8338,   8254,8251,   1498,3812,   2931,5762,   4676,3603,   
30,-758.2853,20,0,0,861121,0,0,310.875,0,0,2286763,-7895.698521034982,-1688.6532484463835,9584.351771835018,-129489.36480831592,-17689.14669013326,394685.0811278817,170.76604,211.54646,   2407,2269,   7380,7390,   359,610,   2480,2330,   6483,4312,   168,402,   4167,4099,   484,591,   6323,6217,   3371,6278,   
31,-563.1819,20,0,0,874933,0,0,215.63927,0,0,3938064.2,-4086.9872876813524,-1343.2213918109521,5430.208682282835,-81094.58936482877,-26918.918569931608,269131.04225826747,143.99359,399.66928,   8253,8251,   1699,5711,   2450,2410,   4869,384,   7862,8359,   3954,3950,   6209,514,   8192,8209,   8285,8411,   8189,8213,   
32,-968.4684,20,0,0,1271377,0,0,250.5117,0,0,9131921,-8021.047679898213,-2366.1529172723676,10387.200597972145,-133438.7099725231,-23967.195412956276,610144.7842283121,137.78323,272.85184,   5954,5947,   1521,1141,   1708,1759,   2716,2768,   686,839,   671,702,   4016,5699,   3548,6428,   7225,7278,   3985,3980,   
33,-859.9574,20,0,0,2280117,0,0,257.04462,0,0,6112281.5,-8896.279189203437,-3382.267167911653,12278.546358700018,-150890.79427339803,-40438.60075903696,654637.0839703436,175.4631,229.68915,   7850,7460,   2843,5653,   7467,7861,   5135,2318,   3536,3583,   3859,6770,   6426,6407,   1468,1509,   1405,1019,   5756,5721,   
34,-817.25415,20,0,0,3229988,0,0,294.36102,0,0,20404924,-9663.654405234338,-3682.1182088310748,13345.772618276054,-163902.77876571528,-47919.955975949524,875076.7537390554,200.55301,209.31026,   1573,6849,   1686,1646,   7085,7166,   1439,983,   1439,2677,   5079,961,   7813,8406,   2462,2381,   7252,7243,   1973,2066,   
35,-736.44525,20,0,0,1270445,0,0,418.53555,0,0,10347988,-9742.440284332079,-3596.7244089019305,13339.16469109691,-179133.82353973863,-44301.99758512521,742040.2947019346,243.24121,214.27203,   87,3348,   1424,2678,   2366,1098,   7195,6942,   4220,1227,   6510,6496,   2595,4255,   2931,5780,   6856,1454,   76,36,   
36,-95.33836,20,0,0,129563,0,0,417.3791,0,0,593888.56,-947.6015134173126,-441.28595452292683,1388.8874659946468,-18612.720213324163,-5547.232321970625,43033.38045224256,195.22803,271.07684,   1707,1745,   7331,7331,   2939,4067,   5848,5809,   6323,3446,   1463,3815,   8225,8236,   5576,5586,   6919,6914,   7706,8154,   
37,-792.8448,20,0,0,1521653,0,0,308.19067,0,0,4191967.2,-8202.565565112418,-2225.420229883668,10427.98579827444,-151771.37800340416,-32687.607087680262,554799.3278509759,191.42635,233.59015,   8,336,   4736,839,   2202,1995,   5774,5233,   753,4784,   7427,7312,   2719,2721,   5288,5230,   8282,8319,   3865,3825,   
38,-503.231,20,0,0,773154,0,0,280.09586,0,0,1652327.8,-4385.538673827318,-1155.2627526691915,5540.8014270078,-80837.79162737356,-12568.037904228227,215759.43599644973,160.63754,206.90553,   3384,3467,   989,960,   7085,7182,   6206,4593,   1181,1155,   1022,1122,   1937,2030,   254,4882,   8314,7826,   1058,1009,   
39,-616.3409,20,0,0,1144368,0,0,289.9606,0,0,4296724,-6698.193070276225,-2106.8066091101623,8804.999679484403,-121744.75276206095,-25321.498289943185,433375.4693735775,197.52827,217.1586,   6587,1986,   1989,6330,   5064,977,   4326,4343,   1907,1806,   2986,2977,   7887,7521,   2904,5248,   1574,1546,   6317,681,   
40,-339.897,20,0,0,623641,0,0,367.00974,0,0,2338017,-3741.5226591178757,-1463.4413440310748,5204.964006328272,-65438.88433523245,-26997.461520086883,271385.2699803416,192.52562,223.73413,   4046,1685,   2958,2960,   6723,5338,   7264,7205,   922,831,   4031,5697,   5541,3642,   289,241,   2464,2331,   3534,6461,   
