score,depth,netChgRoad,netChgBus,netChgRail,savedMinsRoad,savedMinsBus,savedMinsRail,deltaDkRoad,deltaDkBus,deltaDkRail,deltaLkRoad,deltaLkBus,deltaLkRail,railNetworkKM,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9,gameState10,gameState11,gameState12,gameState13,gameState14,gameState15,gameState16,gameState17,gameState18,gameState19,
-36.971424,20,0,0,10101134,0,0,332806500,-4521.347607435406,-1038.5599702739034,5559.90757577605,-76572.85555101663,-13485.610163556077,477661.99837040756,2071.1362,259.53558,   4156,4464,   2825,4230,   7145,8302,   5127,3898,   6659,74,   4830,591,   4933,6707,   8097,2508,   4489,3320,   2885,2403,   
-19.04155,20,0,0,22564223,0,0,789842600,-3629.0097889129856,-1463.2156577955395,5092.22544486117,-51831.10000941722,-15898.746441222216,1196263.4415726217,2722.0002,321.19916,   7568,1357,   2925,7054,   8364,8280,   1937,3077,   8013,81,   6142,7028,   7373,2478,   7683,4857,   4138,3210,   3780,4904,   
-24.14434,20,0,0,28112811,0,0,865012160,-4339.187503715252,-1296.7321342348796,5635.919638319277,-73252.05146446307,-16146.507296159403,1874353.52456563,3033.9224,269.3073,   4923,3423,   959,4404,   1030,5260,   456,4143,   290,2522,   1794,831,   1290,7883,   5868,2798,   1538,4206,   4301,7301,   
-7.9228544,20,0,0,10327606,0,0,341221000,-1077.1395660103735,-553.0371260210295,1630.1766913611232,-19934.25831966358,-11423.104494816042,280323.93204885814,2516.045,240.1979,   6365,2050,   4321,6578,   2368,6238,   1654,2455,   7459,3240,   6806,1279,   7976,6416,   5916,4145,   398,6956,   6024,3104,   
-6.078788,20,0,0,14806654,0,0,510255650,-1047.5996781414522,-494.1548488395155,1541.7545283450133,-19788.017201145532,-8456.395924824168,283512.06020947965,3255.257,294.4813,   7823,6229,   2787,5491,   6723,5311,   5738,7925,   5045,4885,   3318,8367,   7344,4915,   6975,2873,   7538,2817,   2036,3227,   
-22.728315,20,0,0,18655330,0,0,760163000,-3703.4242145890303,-1426.1900681073498,5129.614279910027,-56312.78157684386,-15676.609500242168,1219088.1164642456,2477.6487,280.26617,   3605,6436,   5119,5485,   4151,514,   1290,3309,   1967,1723,   2400,3018,   6618,1197,   7913,135,   7698,7265,   8290,5493,   
-24.318619,20,0,0,19539013,0,0,649112640,-4232.550682587276,-1146.519199658349,5379.069882307609,-68424.73672106552,-13463.721221096239,1501136.606210912,2813.6768,252.22963,   500,2165,   5846,2574,   8358,6875,   2371,3061,   7877,3042,   5043,6017,   4920,2797,   7934,1386,   1110,5737,   1339,6208,   
-55.195385,20,0,0,11570486,0,0,188764720,-6053.358146480571,-1925.7542243277114,7979.112371879885,-100582.31870223965,-24269.10993302854,2674939.3904692917,1822.2959,166.4434,   4020,2428,   5958,3322,   2484,300,   1749,6146,   5437,6839,   3610,272,   2962,4979,   2726,1440,   590,2544,   5563,5712,   
-7.997148,20,0,0,26925724,0,0,821168900,-1211.8450589276279,-423.6508952993932,1635.495954394435,-22558.693506833086,-5518.870746542036,214031.66818011118,2820.8423,231.91176,   6579,6665,   3867,7360,   5115,4818,   6533,3820,   1699,6526,   7461,1961,   5926,2082,   1473,6507,   4642,2523,   89,8057,   
-72.34285,20,0,0,19937204,0,0,682307840,-11214.058705498106,-3907.9466659430536,15122.00536888683,-190316.98236339766,-59329.33938508133,3695544.499566834,2630.7642,251.29321,   5125,4660,   6059,1038,   7868,4770,   3054,8377,   70,6493,   796,7001,   173,4062,   8064,5790,   6997,7033,   6642,6102,   
