score,deltaLkRoad,deltaDjRoad,deltaTotalJobsCreated,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9
-0.017735882,-38643.19825925116,-1962.3399912413597,-5164,217.88147,+390,-2041,-2540,-2973,-2984,-3854,+4376,-4564,-5924,-8218,
-0.017228095,14185.534561401622,935.9824555160632,3084,323.24637,-138,+209,-318,-539,+571,+2115,+3926,+6965,+7394,-7943,
-0.02785,12299.337501953234,1029.9752830048624,2963,220.04161,+1436,+1808,+3613,-3673,-5094,-5250,+5409,+5507,+5638,-8036,
0.0012879613,4943.755870815079,-123.7201907526439,-498,383.84354,+1501,-2073,-3228,+3275,+4189,-4694,-7571,-7635,-7755,-7917,
-0.0015307905,-3252.023662484565,-525.9357470146413,-1585,212.44081,-1826,-2353,+2584,-2590,+3521,+5127,-5547,-6026,+6050,-6944,
-0.017847685,11600.82171643845,761.0061186155816,1939,253.69356,-304,-1403,-1642,+2047,-2713,+3564,+5384,+5774,-7520,+7561,
-0.010630679,5323.761829322503,588.2792569956796,2000,329.24994,+790,+1287,-4163,-4455,+4485,-4606,+6010,-6680,+7303,+7485,
-0.0013765999,-3869.571115976044,-117.18277323666108,-445,281.09628,-92,+369,+512,+1368,-3152,-5854,+6389,-7072,-7505,-8417,
-0.023577483,29047.28458591387,1217.335574148328,2327,307.19635,-1823,-2543,+2818,-2988,+3824,+5043,+5166,+7731,+8140,-8147,
-0.019779455,16751.483670628353,892.9876826806986,2123,268.61752,-1562,-1800,+2378,+2534,+3583,+4738,+5009,-5591,-5828,+7471,
-0.0046451692,-11094.749551359171,-513.1343765541312,-1168,238.84491,+669,+1310,-1381,+1666,-2338,-3543,-3690,-4682,-4928,+8371,
-0.0042763595,-11083.317467210129,-215.1630901734994,-318,259.17645,-660,+1494,-1575,-2063,+2136,-3191,+5261,-6312,+7855,-7995,
-0.03543029,18464.77570759638,1395.3553885153096,3162,234.32213,+27,+1379,-1910,+2340,-3690,+4213,-4694,+4950,+7004,-7998,
-0.0031835216,-1234.8857377068525,122.76911168260399,-394,229.44814,+1058,-1588,-2767,+2830,-4835,+6759,-7578,-7712,+7796,-8277,
-0.00276984,-7451.2532106409535,-527.7702083574852,-1429,269.01385,-514,+1324,+2957,+3220,-3527,-3691,-4656,+4976,-5483,-7292,
-0.02899083,17552.15193719541,1611.0223812549018,4700,330.63144,+69,-468,+1817,+2774,+3164,+6809,+7026,-7193,-7476,+8328,
-0.0052646426,4048.146849380428,185.2013633405924,468,209.30446,-232,+253,-1097,+1367,-1639,-2311,-3549,+5421,+5667,+6409,
-0.015174681,5306.483697995232,679.8179371236985,2398,266.5485,-292,+1517,+1824,+2134,+2367,-2516,-3055,+3914,-6790,+7743,
-0.0132024,918.2544603370042,577.6966174687992,845,260.34552,+685,+1083,-1518,+1737,+2029,-2686,-4773,-4943,+7998,-8039,
-0.0055193645,-17014.400541973297,-1082.4392529241682,-1410,308.2674,-54,-263,-685,-2987,-4981,+6428,+7111,-7510,+7718,+8122,
-0.01797289,4304.982170286433,722.9865098527163,203,239.3401,+1109,+1861,-4383,-4806,-5290,+5960,-6297,-6338,+6372,+7991,
-0.018745804,14353.121956654724,955.9286820518134,2339,303.4063,+259,-2745,+4139,+5299,-5652,+6001,-6735,-6930,+7774,+8219,
-0.0012718722,-4132.802833897089,-382.4105578651518,-719,324.93854,+723,-1814,-2841,-3229,+3803,+3943,-4141,-4337,+4889,-7688,
-0.011643554,14602.864877964112,471.6135313425489,1360,240.99269,+388,+1561,-1659,-2472,-2680,+2824,+3440,+6508,-7619,-8311,
-0.032020062,27901.972027076692,1677.538584173704,4194,311.712,+2064,+2385,+3230,-3582,+5379,+5830,+7089,-7327,+7417,-8231,
-0.012094368,3234.643191655711,436.5825606316852,2000,214.7763,+46,-2234,+2622,+2696,+2820,-3654,-4491,-5132,+5575,+5603,
-0.0128113935,3805.7053305254267,492.4044598944224,1673,228.68031,+1004,-2229,-2448,-3108,+3283,-4092,+5257,+5396,-6068,+7552,
-0.010583825,7959.685189366441,471.60853820725174,2000,265.1198,-172,+713,+1087,-1306,-1744,-4911,+5301,+7056,+7394,+8185,
-0.009338267,17722.890903689044,593.5426897099554,1157,378.17154,+816,-843,-2017,+3949,+4271,+5486,+7299,-7746,-7892,-8295,
-0.0060958955,322.6655481884986,325.4743046411322,1502,317.67453,+1352,+2225,-3378,+3692,+4136,-5685,-6985,-7255,+7748,-8265,
-0.02251018,18755.454191599038,652.887223061484,911,172.56885,-1146,+1316,-1788,-1932,+2524,+2975,-3270,+5872,+6344,-6410,
-0.0039931075,-8412.332186678757,-340.7551402060877,-1428,210.67131,+297,-1692,+2264,+3420,+3831,-4696,-4888,-5180,-5675,-6936,
-0.034990527,30721.37529287366,1933.9961959327031,4320,328.85794,+1218,+1795,+2536,-4438,-5225,+5227,+5534,+6481,+7226,-8145,
-0.0046769055,10145.384755653919,231.88794106390247,737,295.0005,+1773,-1874,+2015,+3695,+4915,+6007,-6040,-6921,-8079,-8388,
-0.004628787,-16976.369736095647,-613.694352013704,-1704,366.75635,-1852,-1951,+2559,+3125,+4721,-4778,-5565,-6454,+7936,-7968,
-0.03267608,20241.322549052627,1112.1307567417668,3328,202.5019,-532,-715,+1187,-2224,+3744,+4608,+4881,-5954,+6174,+6974,
-0.0064095994,7432.483793614859,214.11847859506034,0,198.75885,-756,-1363,-5048,+5124,-5730,+6224,+6401,+6958,-7046,+7081,
-0.0155656645,18914.25862899684,1019.2072589953884,2612,389.58127,-446,+1468,-1482,+4691,+4920,+4939,-6290,+7106,-8253,+8404,
-0.0039208736,-9884.095260362668,-538.5527453900763,-1391,252.08913,-346,-588,+2126,-3199,+3779,+3922,-5326,-6249,-6389,+7694,
