idx,score,depth,netChgRoad,netChgBus,netChgRail,netSavedMinsRoad,netSavedMinsBus,netSavedMinsRail,savedMinsRoad,savedMinsBus,savedMinsRail,deltaDkRoad,deltaDkBus,deltaDkRail,deltaLkRoad,deltaLkBus,deltaLkRail,railNetworkKM,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9,gameState10,gameState11,gameState12,gameState13,gameState14,gameState15,gameState16,gameState17,gameState18,gameState19,
84,-132.09972,20,0,0,480317,0,0,359.79358,0,0,2906133.2,-1117.306896,-742.6214501,1859.928346,-19406.33386,-23489.27853,127914.5108,146.90671,53.087,2397,2393,2393,2512,2512,5686,5686,2775,2775,2765,2765,2726,2726,2730,2730,2771,2771,2796,2796,5299,   
85,-30.580893,20,0,0,355930,0,0,228.33856,0,0,504564.47,-71.27683321,-76.70012704,147.9769603,-1629.336729,-1494.875505,5765.043281,53.279564,28.657358,2959,6893,6893,6891,6891,6888,   ,,,,,,,,,,,,,,
86,-151.41293,20,0,0,19306,0,0,4.5681534,0,0,4495.085,-67.02817737,-34.10212498,101.1303023,-479.294009,-236.6743078,762.465075,3.1654758,2.1034167,7230,7236,7236,7237,   ,,,,,,,,,,,,,,,,
87,-334.09692,20,0,0,425351,0,0,413.43448,0,0,2063175.2,-2565.806549,-1099.125845,3664.932394,-48849.15577,-25748.8289,142984.0222,146.21252,56.071903,1435,1024,1024,1374,1374,1328,1328,4077,4077,4050,4050,5694,5694,5731,5731,5741,5741,5779,5779,5271,   
88,-844.31024,20,0,0,4495818,0,0,197.48692,0,0,19025548,-6842.437035,-2233.446702,9075.883734,-122894.502,-25831.07461,789539.2719,145.55609,52.820435,1376,2387,2387,2498,2498,2468,2468,2850,2850,2845,2845,2831,2831,6727,6727,5669,   ,,,,
89,-268.85605,20,0,0,231476,0,0,259.75125,0,0,1061883.2,-1311.997276,-413.5231069,1725.520383,-25277.96355,-5297.754874,64664.16869,94.02043,44.97369,2360,2328,2328,5163,5163,2674,2674,5206,5206,5201,   ,,,,,,,,,,
90,-266.77795,20,0,0,665588,0,0,354.0829,0,0,5676480,-2924.376036,-1382.393842,4306.769877,-52340.11036,-25690.24116,268370.5737,196.19354,69.36981,5692,5713,5713,2826,2826,2775,2775,2840,2840,2829,2829,5631,5631,5629,5629,5624,5624,2613,2613,2550,   
91,-1220.9946,20,0,0,2164783,0,0,350.84024,0,0,6380112,-11148.26157,-3410.421223,14558.6828,-203713.1135,-36154.09455,741697.7688,166.84193,57.058834,5658,5615,5615,5125,5125,1094,1094,1087,1087,1027,1027,1032,1032,1394,1394,2640,2640,3810,3810,7197,   
92,-252.57176,20,0,0,309564,0,0,122.69775,0,0,826194.25,-1151.092947,-698.4746158,1849.567563,-19417.25177,-10761.85824,98610.32551,76.87816,36.369358,8419,7699,7699,7750,7750,7752,7752,7769,   ,,,,,,,,,,,,
93,-484.37384,20,0,0,522178,0,0,435.90088,0,0,3424481,-4618.423905,-1660.988743,6279.412644,-100324.0694,-24889.77634,364425.4933,207.12115,80.866486,4318,5061,5061,4966,4966,4951,4951,452,452,4744,4744,4751,4751,3706,3706,5809,5809,5807,5807,5869,   
