score,depth,netChgRoad,netChgBus,netChgRail,savedMinsRoad,savedMinsBus,savedMinsRail,deltaDkRoad,deltaDkBus,deltaDkRail,deltaLkRoad,deltaLkBus,deltaLkRail,railNetworkKM,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9,gameState10,gameState11,gameState12,gameState13,gameState14,gameState15,gameState16,gameState17,gameState18,gameState19,gameState20,gameState21,gameState22,gameState23,gameState24,gameState25,gameState26,gameState27,gameState28,gameState29,gameState30,gameState31,gameState32,gameState33,gameState34,gameState35,gameState36,gameState37,gameState38,gameState39
-32.74529,40,0,0,34726136,0,0,851852540,-8052.643246422332,-3080.652379370875,11133.295620243618,-144713.1082380764,-39232.55916290699,1997815.3054630414,4419.3564,282.30588,   1895,4203,   7057,7636,   5061,2641,   5061,5481,   6452,4709,   6224,3519,   1523,4374,   582,5590,   1830,8388,   3694,2667,   8411,1818,   1681,2609,   3627,291,   4567,4184,   6446,3709,   5833,636,   6593,2096,   6166,3267,   7779,3996,   3896,7597,   
-29.265818,40,0,0,35726114,0,0,899505500,-7668.699647950142,-2374.956223420875,10043.655869515482,-129087.36464918683,-31094.010067383388,2633435.8480796195,4410.858,250.40094,   1664,602,   6293,3058,   3101,1357,   2997,6512,   3747,6290,   1185,6261,   6362,1880,   900,76,   2521,4447,   4009,4770,   6509,2267,   6699,1352,   8083,5588,   5361,7863,   6643,5750,   6247,6269,   4491,4533,   1002,7809,   3960,7059,   7943,2270,   
-40.121056,40,0,0,43234405,0,0,1.0985901E+09,-11722.064673761985,-4213.15572038838,15935.220392053858,-215109.63276839958,-49434.75322409181,3207388.497887509,5361.5146,281.37952,   5730,6490,   436,156,   2524,8007,   2709,4713,   1196,6090,   746,3331,   8422,7562,   1087,7832,   2338,4941,   3410,5948,   4431,3570,   8305,6433,   42,3351,   1770,1828,   877,1526,   4552,3897,   4940,1739,   7475,19,   1831,6543,   7263,75,   
-62.298473,40,0,0,27804194,0,0,1.2287315E+09,-18438.522707677377,-5150.506137135983,23589.02884841132,-285143.2128667418,-58525.42265017969,6936748.046773388,4577.05,207.6885,   2878,647,   6666,553,   5004,2916,   6282,5364,   3445,1606,   5470,7454,   3649,1995,   6274,2159,   6620,2439,   113,7608,   6237,881,   3836,8105,   1537,5284,   6827,6683,   86,1068,   6001,4231,   6114,3334,   3070,3783,   5339,7752,   1429,5562,   
-28.588518,40,0,0,22984423,0,0,703042800,-8424.370498634107,-2667.944975897681,11092.315475089548,-137957.81544943614,-33158.340050004226,3065203.162420481,4825.637,259.6391,   5504,4841,   6818,7707,   4492,5533,   248,2944,   3900,5316,   1834,7827,   6429,8090,   2274,1997,   5247,6996,   7451,8155,   4525,8035,   5277,2377,   4041,1239,   1340,314,   7360,2490,   5256,7304,   1010,2986,   2104,1395,   2498,4565,   3613,4439,   
-16.634226,40,0,0,19378304,0,0,659824000,-4718.8685195154585,-1830.6970849222005,6549.565602659982,-85299.5982336142,-28989.920258178074,1642549.0594669646,5127.9575,232.61601,   5035,3882,   2782,3206,   7669,6609,   6237,6459,   1059,1072,   6971,6778,   301,1709,   1037,5905,   8000,4440,   3666,3252,   4193,8370,   4020,1409,   59,2966,   6817,3443,   5986,879,   7934,682,   3383,3011,   3119,642,   5252,2070,   3143,5867,   
-14.940782,40,0,0,25500760,0,0,803648640,-4672.809285460196,-1391.2278379982447,6064.037124542938,-82048.60764765438,-20184.937625531413,1122423.200577314,5491.5874,280.42178,   3437,3316,   7690,6288,   3954,6913,   7003,7737,   1949,4634,   1830,6493,   899,360,   246,5101,   8298,1372,   3146,4703,   8228,2794,   473,180,   1573,6289,   3395,5725,   7025,394,   653,5929,   1296,6234,   8251,877,   679,6167,   5890,1582,   
-19.623451,40,0,0,47979546,0,0,1.427479E+09,-6772.103866722546,-1881.8545713401738,8653.958439599597,-114050.26169956503,-20359.468763461733,2544966.49528304,5811.9365,265.77054,   4399,7516,   1493,1351,   7484,1441,   8219,3022,   2765,6454,   780,3879,   7359,6876,   6075,643,   2842,7509,   4714,6101,   3518,1277,   711,1554,   3981,4337,   5196,3100,   545,7804,   4421,2130,   3917,1564,   304,711,   1300,7558,   1132,132,   
-22.864462,40,0,0,27171792,0,0,1.0047346E+09,-8098.831958852074,-2494.7056468415826,10593.537604969388,-133598.75654530205,-27013.817823752022,3333866.875541729,5843.074,269.1546,   6505,372,   2960,571,   8049,5209,   7006,2856,   159,7608,   6470,1606,   1453,8225,   6499,3121,   6805,8375,   5805,3147,   4680,5118,   2477,3396,   2032,7086,   8397,5794,   6572,5363,   7778,3720,   6377,4581,   8032,3146,   6752,139,   1941,7208,   
-81.50488,40,0,0,27355341,0,0,760350600,-16589.309151754256,-6267.973760929173,22857.282916584325,-288296.85774446686,-125739.19821924136,2681874.446032061,3537.1726,194.88312,   5766,2340,   2941,1373,   1334,2815,   676,4128,   3501,5618,   2342,1361,   1752,6420,   3887,1386,   6330,8000,   6974,963,   5247,1211,   4720,3232,   8266,2750,   3664,5307,   193,3353,   4804,6665,   6433,7033,   5816,2340,   2177,1104,   2062,7653,   
